osm_id,place,plz,landkreis,bundesland,nuts3,nuts2,nuts1
1813352,Ennepetal,58256,Ennepe-Ruhr-Kreis,Nordrhein-Westfalen,DEA56,DEA5,DEA
152288,Ennigerloh,59320,Kreis Warendorf,Nordrhein-Westfalen,DEA14,DEA1,DEA
1255938,Ensch,54340,Landkreis Trier-Saarburg,Rheinland-Pfalz,DEB33,DEB3,DEB
1028544,Ensdorf,92266,Landkreis Amberg-Sulzbach,Bayern,DEB33,DEB3,DEB
1184563,Ensdorf/Saar,66806,Landkreis Saarlouis,Saarland,DEB33,DEB3,DEB
153511,Ense,59469,Kreis Soest,Nordrhein-Westfalen,DEA14,DEA1,DEA
1248402,Ensheim,55232,Landkreis Alzey-Worms,Rheinland-Pfalz,DEB33,DEB3,DEB
535005,Enspel,57647,Westerwaldkreis,Rheinland-Pfalz,DEB1B,DEB1,DEB
1152687,Enzen,54646,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,DEB23,DEB2,DEB
911671,Enzklösterle,75337,Landkreis Calw,Baden-Württemberg,DEB33,DEB3,DEB
416356,Epenwöhrden,25704,Kreis Dithmarschen,Schleswig-Holstein,DEA14,DEA1,DEA
453368,Epfenbach,74925,Rhein-Neckar-Kreis,Baden-Württemberg,DE128,DE12,DE1
943751,Epfendorf,78736,Landkreis Rottweil,Baden-Württemberg,DEB33,DEB3,DEB
1187149,Eppelborn,66571,Landkreis Neunkirchen,Saarland,DEB33,DEB3,DEB
454169,Eppelheim,69214,Rhein-Neckar-Kreis,Baden-Württemberg,DE128,DE12,DE1
1248573,Eppelsheim,55234,Landkreis Alzey-Worms,Rheinland-Pfalz,DEB33,DEB3,DEB
448132,Eppenberg,56759,Landkreis Cochem-Zell,Rheinland-Pfalz,DEB33,DEB3,DEB
1251152,Eppenbrunn,66957,Landkreis Südwestpfalz,Rheinland-Pfalz,DEB33,DEB3,DEB
416476,Eppendorf,9575,Landkreis Mittelsachsen,Sachsen,DEB33,DEB3,DEB
537141,Eppenrod,65558,Rhein-Lahn-Kreis,Rheinland-Pfalz,DEB1A,DEB1,DEB
958972,Eppenschlag,94536,Landkreis Freyung-Grafenau,Bayern,DEB33,DEB3,DEB
452391,Eppertshausen,64859,Landkreis Darmstadt-Dieburg,Hessen,DEB33,DEB3,DEB
410520,Eppingen,75031,Landkreis Heilbronn,Baden-Württemberg,DEB33,DEB3,DEB
957745,Eppishausen,87745,Landkreis Unterallgäu,Bayern,DEB33,DEB3,DEB
393359,Eppstein,65817,Main-Taunus-Kreis,Hessen,DE71A,DE71,DE7
451798,Erbach,64711,Odenwaldkreis,Hessen,DE71B,DE71,DE7
1241477,Erbach,55494,Rhein-Hunsrück-Kreis,Rheinland-Pfalz,DEB1D,DEB1,DEB
